X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,Y1,Y2,Y3,Y4,Y5,Y6,Y7,Y8,Y9,Y10,Y11,Y12,Y13,Y14,Y15,Y16,Y17,Y18,Y19,Y20,Y21,Z1,Z2,Z3,Z4,Z5,Z6,Z7,Z8,Z9,Z10,Z11,Z12,Z13,Z14,Z15,Z16,Z17,Z18,Z19,Z20,Z21,Z22,Gesture
3.1396077,2.8392608,1.3082746,0.15500252,0.6437905,0.6292856,0.2811904,0.39356223,0.41260338,0.20901544,0.46732777,0.053376295,0.055193614,0.2737288,0.1243981,0.113580555,0.18680222,0.08713111,0.10769952,0.22500919,0.083401576,0.0993598,0.16682996,0.06614535,0.17237198,0.1438233,0.17098384,0.1882332,0.08844116,0.1457295,0.10686832,0.11583602,0.031405766,0.11583602,0.10686832,0.1457295,0.08844116,0.1882332,0.17098384,0.1438233,0.17237198,0.06614535,0.16682996,0.0993598,0.083401576,0.22500919,0.10769952,0.08713111,0.18680222,0.113580555,0.1243981,0.2737288,0.055193614,0.053376295,0.46732777,0.20901544,0.41260338,0.39356223,0.2811904,0.6292856,0.6437905,0.15500252,1.3082746,2.8392608,hh
3.4045753,2.704552,1.3065853,0.14967057,0.7519738,0.36782932,0.050883774,0.31647354,0.5078716,0.15831383,0.41347128,0.13443536,0.14634576,0.23006901,0.16248074,0.04967784,0.18207517,0.18210953,0.12489778,0.16548064,0.10374038,0.099085934,0.16215518,0.07578841,0.1278331,0.19581357,0.061042473,0.14763652,0.084345885,0.08215988,0.11009704,0.16866109,0.040864944,0.16866109,0.11009704,0.08215988,0.084345885,0.14763652,0.061042473,0.19581357,0.1278331,0.07578841,0.16215518,0.099085934,0.10374038,0.16548064,0.12489778,0.18210953,0.18207517,0.04967784,0.16248074,0.23006901,0.14634576,0.13443536,0.41347128,0.15831383,0.5078716,0.31647354,0.050883774,0.36782932,0.7519738,0.14967057,1.3065853,2.704552,hh
0.53453416,3.4240828,1.6021702,0.3067311,0.8357991,0.67945683,0.09875312,0.6267662,0.31969634,0.21032277,0.30826408,0.23660518,0.09139222,0.2998626,0.19988218,0.14056781,0.25283,0.14594802,0.13126165,0.302151,0.09094931,0.11026978,0.18228127,0.13054575,0.15949345,0.16755527,0.08414309,0.14568873,0.19092159,0.08328456,0.1641698,0.14765623,0.08976823,0.14765623,0.1641698,0.08328456,0.19092159,0.14568873,0.08414309,0.16755527,0.15949345,0.13054575,0.18228127,0.11026978,0.09094931,0.302151,0.13126165,0.14594802,0.25283,0.14056781,0.19988218,0.2998626,0.09139222,0.23660518,0.30826408,0.21032277,0.31969634,0.6267662,0.09875312,0.67945683,0.8357991,0.3067311,1.6021702,3.4240828,hh
4.106271,2.3081577,0.90734273,0.07765774,0.41786113,0.7107094,0.048756715,0.44194335,0.17052694,0.07822264,0.16910864,0.1926631,0.05754743,0.19248118,0.2029912,0.042115122,0.12933293,0.1074715,0.068157256,0.12461201,0.14543888,0.07443134,0.079458214,0.13450542,0.07966125,0.08723627,0.13138431,0.047303077,0.07158844,0.11177721,0.060437497,0.082072996,0.11878124,0.082072996,0.060437497,0.11177721,0.07158844,0.047303077,0.13138431,0.08723627,0.07966125,0.13450542,0.079458214,0.07443134,0.14543888,0.12461201,0.068157256,0.1074715,0.12933293,0.042115122,0.2029912,0.19248118,0.05754743,0.1926631,0.16910864,0.07822264,0.17052694,0.44194335,0.048756715,0.7107094,0.41786113,0.07765774,0.90734273,2.3081577,hh
2.94792,2.9766152,1.362161,0.32126698,0.589894,0.47431967,0.11028821,0.54926527,0.20089553,0.091267206,0.24851236,0.31818834,0.14866447,0.25897372,0.12380342,0.15471873,0.20092405,0.10693395,0.11773409,0.21861887,0.05724467,0.0869469,0.23056547,0.034923147,0.13943401,0.08996533,0.05702487,0.16261834,0.20706329,0.019855456,0.12922803,0.09702329,0.068531945,0.09702329,0.12922803,0.019855456,0.20706329,0.16261834,0.05702487,0.08996533,0.13943401,0.034923147,0.23056547,0.0869469,0.05724467,0.21861887,0.11773409,0.10693395,0.20092405,0.15471873,0.12380342,0.25897372,0.14866447,0.31818834,0.24851236,0.091267206,0.20089553,0.54926527,0.11028821,0.47431967,0.589894,0.32126698,1.362161,2.9766152,hh
2.798107,2.9820173,1.4371507,0.20812549,0.7812303,0.5723732,0.25397402,0.4850861,0.26277003,0.09558534,0.4550481,0.198711,0.17256641,0.076330446,0.43266684,0.2425212,0.30212873,0.276171,0.1025063,0.27817422,0.13401307,0.08226379,0.09468637,0.1100974,0.076090954,0.19828781,0.071019106,0.17913014,0.10874054,0.06456198,0.20678169,0.08477061,0.059446715,0.08477061,0.20678169,0.06456198,0.10874054,0.17913014,0.071019106,0.19828781,0.076090954,0.1100974,0.09468637,0.08226379,0.13401307,0.27817422,0.1025063,0.276171,0.30212873,0.2425212,0.43266684,0.076330446,0.17256641,0.198711,0.4550481,0.09558534,0.26277003,0.4850861,0.25397402,0.5723732,0.7812303,0.20812549,1.4371507,2.9820173,hh
2.9756246,2.9721386,1.3007867,0.37234572,0.549778,0.52873313,0.18011206,0.6571784,0.15352386,0.2872838,0.08013615,0.43284416,0.21537286,0.4927886,0.09933214,0.09863721,0.107464224,0.21811925,0.14380766,0.22536284,0.08618792,0.15305924,0.1732265,0.03189849,0.07264675,0.14541449,0.06559755,0.14898646,0.16017418,0.021646885,0.13408376,0.12781316,0.06976571,0.12781316,0.13408376,0.021646885,0.16017418,0.14898646,0.06559755,0.14541449,0.07264675,0.03189849,0.1732265,0.15305924,0.08618792,0.22536284,0.14380766,0.21811925,0.107464224,0.09863721,0.09933214,0.4927886,0.21537286,0.43284416,0.08013615,0.2872838,0.15352386,0.6571784,0.18011206,0.52873313,0.549778,0.37234572,1.3007867,2.9721386,hh
0.63092005,3.4730458,1.5415704,0.19804426,0.8694196,0.683134,0.30090526,0.5324006,0.35916367,0.1182375,0.49699363,0.16974813,0.1605685,0.08769205,0.32613388,0.26959524,0.41911665,0.15950073,0.15803882,0.42038023,0.09643523,0.08172403,0.06973767,0.14898957,0.09534705,0.25395867,0.02523806,0.18085358,0.20020655,0.11244229,0.21042188,0.09740784,0.02486293,0.09740784,0.21042188,0.11244229,0.20020655,0.18085358,0.02523806,0.25395867,0.09534705,0.14898957,0.06973767,0.08172403,0.09643523,0.42038023,0.15803882,0.15950073,0.41911665,0.26959524,0.32613388,0.08769205,0.1605685,0.16974813,0.49699363,0.1182375,0.35916367,0.5324006,0.30090526,0.683134,0.8694196,0.19804426,1.5415704,3.4730458,hh
3.7622275,2.530529,1.1084206,0.2340574,0.28334805,0.4603628,0.11613306,0.48321193,0.081269756,0.12743397,0.12966661,0.60894793,0.118410856,0.3714128,0.3072101,0.14954062,0.10408333,0.36731175,0.06810847,0.111337945,0.28665173,0.073745295,0.08845604,0.048685055,0.040641237,0.096052065,0.17441791,0.037770133,0.05678098,0.032226883,0.11496108,0.030662455,0.21516709,0.030662455,0.11496108,0.032226883,0.05678098,0.037770133,0.17441791,0.096052065,0.040641237,0.048685055,0.08845604,0.073745295,0.28665173,0.111337945,0.06810847,0.36731175,0.10408333,0.14954062,0.3072101,0.3714128,0.118410856,0.60894793,0.12966661,0.12743397,0.081269756,0.48321193,0.11613306,0.4603628,0.28334805,0.2340574,1.1084206,2.530529,hh
2.8710506,2.9874175,1.3131398,0.328069,0.63537955,0.45510274,0.090238616,0.4878612,0.38107195,0.24648368,0.38056374,0.27824652,0.06300153,0.31107783,0.28523183,0.12504226,0.29211137,0.20063731,0.13121495,0.1448726,0.15740108,0.035052832,0.2400961,0.07908952,0.14631572,0.10629627,0.10372652,0.1172999,0.16410452,0.10353666,0.11423196,0.1526635,0.011029411,0.1526635,0.11423196,0.10353666,0.16410452,0.1172999,0.10372652,0.10629627,0.14631572,0.07908952,0.2400961,0.035052832,0.15740108,0.1448726,0.13121495,0.20063731,0.29211137,0.12504226,0.28523183,0.31107783,0.06300153,0.27824652,0.38056374,0.24648368,0.38107195,0.4878612,0.090238616,0.45510274,0.63537955,0.328069,1.3131398,2.9874175,hh
