X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,X22,X23,X24,X25,X26,X27,X28,X29,X30,Y1,Y2,Y3,Y4,Y5,Y6,Y7,Y8,Y9,Y10,Y11,Y12,Y13,Y14,Y15,Y16,Y17,Y18,Y19,Y20,Y21,Y22,Y23,Y24,Y25,Y26,Y27,Y28,Y29,Y30,Z1,Z2,Z3,Z4,Z5,Z6,Z7,Z8,Z9,Z10,Z11,Z12,Z13,Z14,Z15,Z16,Z17,Z18,Z19,Z20,Z21,Z22,Z23,Z24,Z25,Z26,Z27,Z28,Z29,Z30,Gesture
-0.485743,-0.5288138,-0.4331009,-1.0504491,-1.9669002,-1.727618,-0.94277215,-1.0743774,-0.32542387,-0.5599205,-1.3256238,-1.5577276,-1.0648061,-1.026521,-1.3519448,-1.4141582,-1.1389836,-1.3495519,-1.160519,-1.160519,-1.4763715,-1.1629118,-1.3663018,-1.3016955,-1.1509477,-1.3208381,-1.1557333,-1.1796615,-1.3950156,-1.3639089,1.2921243,1.1389836,2.333002,3.9290147,0.53359944,0.67477596,-0.23928227,-2.696711,-3.347559,-3.1896327,0.634098,0.6795616,1.2753744,2.7086751,0.9810573,0.24885355,0.6412765,0.72502524,0.64606214,0.8422736,0.5288138,0.64845496,0.4953143,0.60777694,0.5623133,0.552742,0.83748794,0.68195444,0.8566305,1.0073783,9.525827,9.836894,9.456435,8.85823,10.339387,9.97807,9.415757,9.5665045,9.887143,9.738789,9.41815,9.827323,10.073783,9.006584,10.212567,9.650253,9.571291,9.669396,9.674182,9.60479,9.8321085,9.470792,9.815358,9.724431,9.700503,9.643075,9.762716,9.676575,9.695718,9.686146,hh
-1.4596218,-1.4141582,-1.3998013,-1.2299109,-1.4404793,-1.4069797,-1.2658032,-1.4476577,-1.5074782,-1.4548361,-1.4668003,-1.9357935,-1.9070797,-1.1150553,-1.8233309,-1.2418749,-0.9068798,-0.58624154,-0.80159557,-0.72023964,-1.8161523,-1.8807586,-1.8400806,-1.5146568,-1.4763715,-1.5050855,-1.457229,-1.7036897,-1.6606189,-1.5840486,2.3832514,1.9669002,2.0841484,1.8664017,1.942972,2.1296122,1.8664017,2.1631117,2.0937197,2.1678972,3.1130621,3.7974095,2.1559331,2.2181466,1.6462619,0.4426722,-1.416551,-1.3615161,-0.076570325,1.9501505,4.2759743,3.5820556,3.5700915,2.2444677,2.0841484,1.8879371,1.8400806,2.2181466,1.8185452,1.8975084,9.446864,9.497113,9.425328,9.434899,9.542577,9.406186,9.35833,9.521041,9.432507,9.394221,9.111869,9.157332,9.466006,8.999406,9.827323,9.485149,10.07139,10.01157,10.116854,9.109476,8.047063,9.49472,8.999406,9.518648,9.30808,9.652647,9.470792,9.341579,9.406186,9.51147,hh
-1.0767702,-1.2705889,-1.2251252,-1.2323036,-1.3734802,-1.457229,-1.7611175,-1.7371893,-1.847259,-2.1415763,-1.6965113,-1.2346965,-1.079163,-0.6771688,-0.83748794,-1.2011969,-1.160519,-1.820938,-1.9645073,-1.8831514,-1.4715859,-1.3543376,-1.2107682,-1.4524434,-1.0241281,-0.8255238,-1.3423735,-1.052842,-0.85184485,-1.146162,-6.04427,-5.615955,-5.2331033,-5.5202417,-5.771488,-5.3312087,-4.8933225,-4.625326,-5.3766723,-6.1878395,-5.7667027,-6.920043,-6.4941206,-8.226524,-7.3172517,-6.1160545,-5.359923,-5.352744,-4.5726843,-3.7184465,-4.7210393,-5.278567,-5.4723854,-5.2546387,-5.1876397,-5.015356,-5.261817,-4.8191447,-5.252246,-5.103891,8.049456,8.02792,8.188239,7.984849,8.176275,8.365308,8.970692,8.681161,8.183454,8.322237,7.800602,7.159325,7.1138616,6.7669024,7.204789,7.4656067,8.049456,8.157132,8.712267,9.250652,8.535198,8.3174515,8.413164,8.372486,8.475378,8.322237,8.547162,8.183454,8.216953,8.623733,hh
-0.9619147,-1.0145568,-1.1078769,-1.0432707,-1.1988041,-1.2155539,-1.5337993,-1.1150553,-1.2155539,-0.83030945,-0.45942193,-0.55034924,-0.5838487,-0.60059845,-0.8207382,-0.28953153,-0.20817557,-0.6963114,-0.96430755,-1.5098711,-1.3519448,-1.1964114,-1.1964114,-1.282553,-1.2777673,-1.0815558,-1.1629118,-1.2370893,-1.3495519,-0.91405827,5.407779,5.393422,5.4963136,5.8265233,5.6781683,6.795616,5.032106,5.1349974,5.0249276,4.699504,3.4767714,3.1441689,3.0245278,2.3186452,3.182454,3.8237305,4.7018967,5.749953,6.2715883,6.5659056,6.5659056,6.4941206,6.1495543,6.1998034,6.0753765,6.0107703,6.2261243,6.005985,6.300302,6.216553,7.719246,7.9154572,7.941778,7.62114,7.6546397,7.111469,7.7503524,7.982456,8.34138,8.700303,9.06162,9.042477,9.3104725,9.664611,9.712467,9.052048,8.0614195,7.6019974,6.9726853,6.9655066,7.1210403,7.0205417,7.3746796,7.408179,7.460821,7.3028946,7.204789,7.3698936,7.618747,7.085148,hh
-0.5383851,-0.6771688,-0.47856453,-0.44985065,-0.47377887,-0.7082755,-0.9092726,-1.4141582,-1.9908284,-2.132005,-2.0051854,-1.7778672,-1.3639089,-1.6414764,-1.7156538,-2.2085752,-2.37368,-1.8735801,-1.698904,-1.2849457,-1.18684,-1.2442678,-1.3591232,-1.3280165,-1.2011969,-1.3567305,-1.2753744,-1.1078769,-0.9020941,-1.3280165,0.22971097,0.33738798,0.37088752,0.069391854,0.17706887,0.72741807,1.8664017,1.3710874,0.9906286,-0.8422736,-0.3469593,-1.4548361,-1.9812572,-2.2037897,-0.70348984,-0.70588267,1.174876,1.026521,0.2105684,0.72741807,0.30388847,0.36370903,1.0552348,0.5814559,0.6412765,0.7848458,0.7106683,0.49292147,0.51445687,0.7968099,9.777073,9.671789,9.8632145,9.726824,9.882358,9.731609,9.592826,9.449257,10.054641,9.099904,10.018748,9.542577,9.657433,9.875179,9.678967,9.580862,9.994821,9.446864,9.561719,9.80818,9.815358,9.750752,9.614362,9.77468,9.609575,9.667004,9.731609,9.628718,10.07139,9.3511505,hh
-1.119841,-1.1365907,-1.3256238,-1.4285151,-1.698904,-1.3734802,-3.6059837,-4.7042894,-3.6634114,-0.05503492,-2.1080768,-2.6273193,-2.9455647,-2.1894326,-1.5122639,-1.5840486,-1.6199409,-1.68694,-1.7898313,-1.6821543,-1.6438692,-1.6390835,-1.5960127,-1.524228,-1.6319051,-2.0171494,-1.5433706,-1.5361922,-1.4380864,-1.1270195,0.27038896,-0.016749758,0.36131623,0.22731815,0.28713873,0.31106696,3.8572302,-0.24646074,-0.2440679,-4.1587257,-3.1322048,2.400001,2.656033,1.9597218,0.12921242,0.3397808,0.27756742,0.3804588,0.3397808,0.47856453,0.54317075,0.4833502,0.567099,0.5694918,0.37088752,0.33499518,0.44506502,-0.22971097,0.62452674,-0.124426775,9.769895,9.738789,9.702896,9.734002,9.676575,9.700503,9.437292,9.269794,9.662218,9.870394,9.109476,9.915857,9.343972,9.844072,9.805787,9.705289,9.664611,9.647861,9.930214,9.592826,9.652647,9.628718,9.68136,9.659825,9.738789,10.27478,9.408579,9.8632145,9.35833,9.24826,hh
-0.46899325,-0.634098,-0.27517462,-0.58624154,-0.35653058,-0.21774685,-0.37806597,-0.2727818,-0.3924229,-0.9403793,-1.9525433,-1.7156538,-1.2753744,-0.83030945,-2.9503503,-3.5581272,-2.0027926,-1.1844472,-0.79441714,-0.81595254,-0.8925229,-0.863809,-1.0145568,-0.74895346,-0.849452,-0.8853444,-0.8446664,-0.715454,-1.1150553,-0.8135597,0.3182454,0.016749758,0.16271193,0.14356937,0.076570325,0.31106696,0.083748795,0.12921242,0.7704889,1.98365,0.36370903,-1.0648061,-4.4195433,-4.9579287,-2.0219352,1.6773686,3.1848469,0.9810573,0.14117654,0.12203395,0.3397808,0.36370903,0.5240282,0.6029913,0.6987042,0.49292147,0.6723832,0.567099,0.59342,0.44745782,9.79143,10.061819,9.659825,9.79143,9.79143,9.650253,9.939785,9.80818,9.796216,9.71486,9.815358,9.298509,9.233903,9.035298,9.107083,9.595219,9.939785,9.700503,9.698111,9.702896,9.77468,9.915857,9.822537,9.810573,9.659825,9.729217,9.614362,9.640682,10.013963,9.74836,hh
-1.253839,-1.2131611,-1.1796615,-1.1365907,-1.227518,-2.2348964,-3.2877383,-3.4241292,-0.062213387,0.8781659,-2.3234308,-4.54397,-3.7950168,-2.143969,-2.1296122,-2.1272194,-2.1296122,-2.0578275,-1.9645073,-1.8927227,-1.8831514,-1.9573289,-1.6677973,-1.6821543,-1.6677973,-1.7156538,-1.5361922,-1.6366907,-1.6079768,-1.6917256,-5.4125648,-5.06082,-5.3790655,-5.556134,-5.359923,-3.345166,-4.4339004,-5.9437714,-9.432507,-8.724232,-8.238488,-4.610969,-2.0075781,-3.4408789,-4.1467614,-4.359723,-4.3334017,-4.3094735,-4.642076,-4.5559344,-4.56072,-5.06082,-4.6779685,-4.9531426,-5.0177493,-4.907679,-5.245067,-5.058427,-4.996214,-5.1996036,8.384451,8.283952,8.403593,8.432307,8.29113,9.489935,9.836894,7.8628154,5.393422,5.4676,7.515856,8.946764,9.413364,9.169296,8.432307,8.848659,8.707481,8.740981,8.733803,8.575876,8.374879,8.60459,8.415557,8.556734,8.685946,8.453842,8.255239,8.554341,8.5112705,8.63809,hh
-1.3160524,-1.1485549,-1.3208381,-1.2346965,-1.18684,-1.0241281,-1.174876,-1.3710874,-1.253839,-1.4093726,-4.2592244,-5.197211,-2.6751757,-2.225325,-4.4602213,-3.495914,-1.8879371,-1.0624132,-1.3328022,-1.3304094,-1.2729816,-1.0217353,-1.2562319,-1.0959128,-1.0336994,-0.9667004,-0.89730847,-1.5026926,-0.8135597,-0.2847459,7.21436,7.3268228,7.578069,6.73101,7.393822,7.391429,7.381858,7.487142,7.4775705,10.284351,8.963513,6.975078,6.5108705,3.7615173,7.9537425,9.611969,9.887143,8.578269,8.276773,8.63809,8.116454,8.300702,8.271988,8.219346,8.360522,8.465807,7.8867435,8.662018,8.123632,8.161918,5.9437714,6.0370917,6.1734824,6.3338017,5.960521,5.8360944,5.9676995,5.6781683,6.096912,2.8570302,2.8689942,5.5537415,8.346166,10.164711,4.1036906,1.9094725,2.0291135,4.5655055,4.924429,4.3740797,4.651647,4.465007,4.694718,4.8287163,4.4889355,4.9196434,4.962714,4.74736,4.634897,4.7712884,hh
-0.96430755,-0.6963114,-0.72502524,-0.8566305,-0.7609176,-0.8279166,-0.7537391,-0.8470592,-0.8111669,-0.90448695,-1.7252251,-2.349752,-3.3619158,-3.1944182,0.0047856453,-2.8354948,-4.465007,-4.342973,-2.469393,-2.0458634,-1.9453648,-1.7946169,-1.8257236,-1.8305093,-1.98365,-2.400001,-1.9884356,-2.0554347,-2.0267208,-1.7659031,1.1078769,0.6556334,0.47138608,0.8279166,0.5599205,0.552742,0.6795616,0.4019942,0.552742,0.5766702,2.3688943,1.3710874,1.3830515,0.4546363,-3.9242291,-2.7828526,1.7419748,3.6753755,2.2588246,0.7298109,0.9164511,0.93559366,1.0743774,0.9284152,0.8662018,0.35413775,0.930808,0.7704889,0.78723866,0.70348984,9.561719,9.79143,9.753145,9.712467,9.695718,9.899107,9.674182,9.877572,9.700503,9.793823,9.580862,9.827323,9.47797,8.58784,9.786645,9.671789,9.018549,9.219545,9.29133,9.623933,9.5760765,9.509077,9.597611,9.499506,9.394221,9.712467,9.631111,9.695718,9.327223,10.004392,hh
